NectarRecordID,ButterflyTransID,Nectar Plant Name,USDA scientific name,Section 1,Section 2,Section 3,Section 4,Section 5
6012,1494,deptford pink,,4,0,3,1,3
6013,1494,red clover,,0,1,4,0,1
6014,1494,oxeye daisy,,0,0,0,0,1
6015,1494,white clover,,3,1,15,1,0
6016,1494,black medick,,95,27,11,0,0
6017,1494,yellow sweet clover,,3,3,0,0,0
6018,1495,yellow sweet clover,,0,0,0,0,2
6019,1495,birdsfoot trefoil,,0,0,4,10,2
6020,1495,parsnip,,0,0,0,2,0
6021,1495,white clover,,0,0,0,27,0
6022,1496,birdsfoot trefoil,,0,0,0,3,4
6023,1496,white clover,,0,0,0,57,7
6024,1496,yellow sweet clover,,0,0,0,2,0
6025,1496,deptford pink,,6,0,4,0,0
6026,1496,black medick,,0,6,0,0,0
6027,1496,woodsorrel,Oxalis dillenii,0,0,0,1,0
6028,1497,white clover,,14,0,0,0,2
6029,1497,deptford pink,,1,0,0,1,2
6030,1497,black medick,,9,0,0,0,3
6031,1497,red clover,,3,0,0,0,2
6032,1497,birdsfoot trefoil,,0,1,1,0,0
6033,1497,yellow sweet clover,,2,0,0,0,0
6034,1497,yellow woodsorrel,Oxalis dillenii,9,0,0,0,0
6035,1498,birdsfoot trefoil,,0,0,0,2,0
6036,1498,white clover,,0,26,9,0,0
6037,1498,deptford pink,,0,3,0,0,0
6038,1498,fieldcress,,0,0,0,1,0
6039,1500,deptford pink,,3,2,1,3,10
6040,1500,white clover,,9,4,140,0,2
6041,1500,black medick,,3,0,227,0,7
6042,1500,birdsfoot trefoil,,5,0,3,1,1
6043,1500,yellow sweet clover,,0,0,5,0,0
6044,1500,fieldcress,,0,2,0,0,0
6045,1500,chickweed,,0,1,0,0,0
6046,1499,white clover,,1,18,12,5,0
6047,1499,deptford pink,,8,4,6,2,0
6048,1499,birdsfoot trefoil,,0,0,2,13,0
6049,1499,black medick,,3,3,0,1,0
6050,1499,red clover,,1,0,1,0,0
6051,1502,deptford pink,,1,16,10,4,0
6052,1502,birdsfoot trefoil,,3,0,0,0,0
6053,1501,deptford pink,,0,4,0,0,4
6054,1501,birdsfoot trefoil,,0,0,0,0,4
6055,1505,birdsfoot trefoil,,15,0,4,1,1
6056,1505,bedstraw,,0,0,0,20,85
6057,1505,deptford pink,,0,0,3,23,0
6058,1505,daisy fleabane,,0,0,1,0,0
6059,1505,red clover,,9,4,5,0,0
6060,1505,black medick,,0,6,0,0,0
6061,1503,birdsfoot trefoil,,2,2,1,43,12
6062,1503,deptford pink,,7,2,4,0,0
6063,1503,yellow sweet clover,,0,0,0,6,1
6064,1503,red clover,,1,0,5,45,43
6065,1503,musk thistle,,0,0,0,1,0
6066,1503,yarrow,,1,0,0,0,0
6067,1503,white clover,,0,0,0,0,8
6068,1504,birdsfoot trefoil,,0,0,0,3,12
6069,1504,deptford pink,,8,30,18,5,12
6070,1504,common cinquefoil,,0,0,0,1,0
6071,1504,red clover,,0,1,6,0,0
6072,1504,daisy fleabane,,0,0,1,0,0
6073,1504,yarrow,,0,1,0,0,0
6074,1504,white clover,,0,6,0,0,0
6075,1507,parsnip,,0,7,29,10,18
6076,1507,dandelion,,0,0,1,0,0
6077,1507,hoary verbena,,0,0,0,0,1
6078,1508,birdsfoot trefoil,,0,8,66,247,100
6079,1508,white clover,,0,0,2,1,5
6080,1508,red clover,,0,0,3,1,0
6081,1508,yellow sweet clover,,0,0,8,6,0
6082,1508,white sweet clover,,0,0,0,2,0
6083,1508,dandelion,,0,0,0,3,0
6084,1508,horse nettle,,0,0,0,2,0
6085,1508,parsnip,,2,1,1,3,0
6086,1508,yarrow,,0,0,1,0,0
6087,1509,yellow sweet clover,,0,1,0,8,21
6088,1509,birdsfoot trefoil,,0,0,2,0,12
6089,1509,black medick,,28,0,0,5,0
6090,1509,woodsorrel,,6,4,1,2,0
6091,1510,white clover,,270,690,575,12,254
6092,1510,red clover,,1,0,0,1,2
6093,1510,birdsfoot trefoil,,45,20,5,32,10
6094,1510,black eyed susan,,2,0,0,1,0
6095,1510,yellow sweet clover,,1,14,0,0,0
6096,1510,deptford pink,,59,14,64,28,17
6097,1510,daisy fleabane,,33,16,0,0,0
6098,1511,deptford pink,,22,3,6,34,9
6099,1511,red clover,,0,0,0,1,2
6100,1511,daisy fleabane,,9,14,4,5,0
6101,1511,oxeye daisy,,2,30,48,110,0
6102,1511,birdsfoot trefoil,,6,0,0,2,0
6103,1511,yellow sweet clover,,0,0,0,1,0
6104,1511,yarrow,,1,4,0,1,0
6105,1511,white lobelia,,0,2,0,0,0
6106,1511,black eyed susan,,2,0,0,0,0
6107,1512,white clover,,22,9,1,5,0
6108,1512,birdsfoot trefoil,,0,4,6,0,0
6109,1512,red clover,,1,0,1,0,0
6110,1512,daisy fleabane,,0,1,2,0,0
6111,1512,hoary verbena,,0,1,5,0,0
6112,1512,deptford pink,,0,2,0,0,0
6113,1512,yellow sweet clover,,0,2,0,0,0
6114,1513,white clover,,1720,496,150,45,158
6115,1513,alsike clover,,0,0,36,14,1
6116,1513,birdsfoot trefoil,,0,96,30,3,5
6117,1513,daisy fleabane,,1,0,0,0,1
6118,1513,black medick,,0,0,0,0,7
6119,1513,red clover,,5,3,3,3,2
6120,1513,deptford pink,,0,1,0,1,0
6121,1513,common cinquefoil,,0,1,0,0,0
6122,1514,white clover,,31,26,7,112,56
6123,1514,plantain,,0,0,0,4,1
6124,1514,deptford pink,,0,0,0,2,0
6125,1514,black medick,,2,1,0,22,0
6126,1515,white clover,,35,109,47,35,101
6127,1515,birdsfoot trefoil,,0,0,0,0,1
6128,1515,daisy fleabane,,1,0,0,0,0
6129,1515,black medick,,14,0,0,0,0
6130,1516,birdsfoot trefoil,,4,0,12,903,1343
6131,1516,red clover,,2,0,0,58,122
6132,1516,deptford pink,,0,0,0,14,0
6133,1516,alsike clover,,0,0,0,3,0
6134,1516,white clover,,0,0,0,5,89
6135,1516,yarrow,,0,0,0,0,27
6136,1517,deptford pink,,47,0,0,0,69
6137,1517,red clover,,83,37,18,63,113
6138,1517,birdsfoot trefoil,,140,92,165,71,65
6139,1517,daisy fleabane,,0,0,0,2,0
6140,1518,deptford pink,,1,0,6,1,9
6141,1518,red clover,,1,0,0,0,3
6142,1518,alphalfa,,0,0,3,7,0
6143,1519,blackberry,,0,1,0,1,1
6144,1519,deptford pink,,0,0,2,4,4
6145,1519,white lobelia,,0,0,2,0,0
6146,1519,daisy fleabane,,0,2,0,0,0
6147,1519,yarrow,,1,0,0,0,0
6148,1520,white lobelia,,0,0,0,0,5
6149,1520,black eyed susan,,0,4,0,4,1
6150,1520,daisy fleabane,,0,0,0,1,1
6151,1520,deptford pink,,0,1,0,0,2
6152,1520,prairie cinquefoil,,0,0,0,1,1
6153,1520,prairie petunia,,0,0,0,1,0
6154,1520,yarrow,,0,0,1,0,0
6155,1521,white lobelia,,0,1,0,0,1
6156,1521,deptford pink,,0,0,0,0,1
6157,1521,yarrow,,0,0,1,0,0
6158,1521,dogbane,,0,1,0,0,0
6159,1521,oxeye daisy,,1,0,0,0,0
6160,1522,birdsfoot trefoil,,257,385,660,720,601
6161,1522,white clover,,1,1,0,0,29
6162,1522,black medick,,7,0,0,4,88
6163,1522,deptford pink,,0,0,2,0,1
6164,1522,common cinquefoil,,0,1,0,4,0
6165,1522,red clover,,3,0,1,2,0
6166,1522,white sweet clover,,0,0,0,0,1
6167,1522,white lobelia,,2,1,0,0,0
6168,1522,yarrow,,1,0,0,0,0
6169,1523,birdsfoot trefoil,,580,145,0,290,860
6170,1523,yarrow,,0,0,0,0,4
6171,1523,white indigo,,0,0,1,1,0
6172,1523,white clover,,0,14,0,0,0
6173,1523,red clover,,3,0,0,0,0
6174,1524,birdsfoot trefoil,,2320,2850,2900,2500,1389
6175,1524,daisy fleabane,,0,0,0,0,1
6176,1524,red clover,,13,9,13,12,0
6177,1524,white clover,,0,0,1,2,0
6178,1524,yarrow,,1,1,1,0,0
6179,1525,birdsfoot trefoil,,44,18,71,183,62
6180,1525,red clover,,10,10,3,3,5
6181,1525,deptford pink,,1,0,0,1,2
6182,1525,oxeye daisy,,0,0,1,1,0
6183,1525,plantain,,0,0,1,0,0
6184,1526,birdsfoot trefoil,,206,393,191,382,99
6185,1526,red clover,,2,50,23,5,15
6186,1526,oxeye daisy,,4,1,0,1,4
6187,1526,white clover,,3,4,0,7,25
6188,1526,deptford pink,,0,2,2,14,2
6189,1526,black medick,,0,0,0,2,0
6190,1526,white lobelia,,0,1,0,0,0
6191,1526,yarrow,,1,0,0,0,0
6192,1527,birdsfoot trefoil,,545,480,184,289,241
6193,1527,red clover,,15,5,6,2,4
6194,1527,white clover,,18,1,2,87,13
6195,1527,deptford pink,,1,0,1,0,1
6196,1527,yellow sweet clover,,0,0,0,3,0
6197,1527,black medick,,0,0,0,3,0
6198,1527,oxeye daisy,,1,11,0,0,0
6199,1528,birdsfoot trefoil,,115,148,124,206,48
6200,1528,red clover,,22,6,1,0,10
6201,1528,yarrow,,0,1,0,0,1
6202,1528,deptford pink,,0,0,0,1,0
6203,1528,black medick,,45,3,7,0,0
6204,1528,yellow sweet clover,,7,0,0,0,0
6205,1528,white clover,,19,0,0,0,0
6206,1529,deptford pink,,163,3,3,0,3
6207,1529,birdsfoot trefoil,,30,170,145,53,20
6208,1529,white clover,,0,9,0,0,1
6209,1529,white lobelia,,1,2,0,1,0
6210,1529,oxeye daisy,,2,2,7,3,0
6211,1529,white sweet clover,,0,0,0,2,0
6212,1529,red clover,,3,13,3,0,0
6213,1529,black medick,,0,3,3,0,0
6214,1529,yellow sweet clover,,0,1,0,0,0
6215,1530,birdsfoot trefoil,,216,165,340,230,345
6216,1530,oxeye daisy,,0,0,0,0,1
6217,1530,white clover,,53,34,33,3,18
6218,1530,white lobelia,,0,0,0,1,0
6219,1530,red clover,,1,0,2,0,0
6220,1530,yellow sweet clover,,1,0,0,0,0
6221,1531,birdsfoot trefoil,,212,8,67,65,71
6222,1531,white clover,,5,29,39,15,119
6223,1531,red clover,,1,4,10,8,10
6224,1531,black medick,,35,270,430,265,319
6225,1531,yellow sweet clover,,0,6,5,6,38
6226,1531,deptford pink,,0,1,0,0,1
6227,1532,yellow sweet clover,,51,23,0,0,0
6228,1532,alsike clover,,1,0,0,0,0
6229,1532,red clover,,10,23,0,0,0
6230,1533,common cinquefoil,,0,0,0,0,13
6231,1533,daisy fleabane,,2,0,0,1,3
6232,1533,deptford pink,,0,1,0,0,1
6233,1533,parsnip,,4,10,0,0,0
6234,1533,white sweet clover,,32,0,0,0,0
6235,1533,yellow sweet clover,,1,0,0,0,0
6236,1533,birdsfoot trefoil,,382,0,0,0,0
6237,1534,yellow sweet clover,,0,0,0,0,8
6238,1534,dogbane,,0,0,7,0,0
6239,1534,wild parsnip,,0,0,6,0,0
6240,1534,ACCIDENTAL ROW,,0,0,0,0,0
6241,1534,ACCIDENTAL ROW,,0,0,0,0,0
6242,1535,birdsfoot trefoil,,352,52,17,17,24
6243,1535,oxeye daisy,,2,1,2,3,3
6244,1535,deptford pink,,5,5,2,0,0
6245,1535,white clover,,1,3,0,0,0
6246,1535,yellow sweet clover,,0,1,0,0,0
6247,1535,red clover,,1,1,0,0,0
6248,1536,birdsfoot trefoil,,290,120,420,496,260
6249,1536,oxeye daisy,,1,1,1,7,5
6250,1536,deptford pink,,10,2,2,6,9
6251,1536,red clover,,0,0,1,0,3
6252,1537,deptford pink,,5,27,2,2,4
6253,1537,hoary verbena,,0,0,0,0,1
6254,1537,daisy fleabane,,0,0,0,4,1
6255,1537,white clover,,18,5,0,1,0
6256,1538,birdsfoot trefoil,,20,27,2,0,143
6257,1538,parsnip,,0,0,0,3,1
6258,1538,daisy fleabane,,0,0,0,1,0
6259,1538,purple prairie clover,,2,0,0,0,0
6260,1538,yellow sweet clover,,1,0,0,0,0
6261,1539,birdsfoot trefoil,,493,352,316,186,266
6262,1539,common cinquefoil,,1,2,0,0,0
6263,1539,white clover,,1,5,14,0,1
6264,1539,red clover,,1,11,6,2,2
6265,1540,birdsfoot trefoil,,780,650,390,70,120
6266,1540,tall cinquefoil,,0,0,0,1,1
6267,1540,purple prairie clover,,0,0,0,1,0
6268,1540,daisy fleabane,,5,0,8,6,0
6269,1541,tall cinquefoil,,3,3,0,0,0
6270,1541,yarrow,,0,0,0,0,6
6271,1542,birdsfoot trefoil,,130,220,10,77,3
6272,1542,deptford pink,,0,3,13,14,1
6273,1542,yarrow,,0,0,1,3,0
6274,1542,red clover,,0,2,0,12,0
6275,1542,white clover,,0,0,0,14,0
6276,1542,prairie petunia,,0,1,0,1,0
6277,1542,yellow sweet clover,,1,8,0,0,0
6278,1543,deptford pink,,2,3,4,14,0
6279,1543,yellow sweet clover,,0,0,0,2,0
6280,1543,prairie petunia,,0,0,1,0,0
6281,1543,tall cinquefoil,,1,0,0,0,0
6282,1544,birdsfoot trefoil,,51,48,58,61,73
6283,1544,daisy fleabane,,1,0,1,0,2
6284,1544,deptford pink,,15,0,2,27,50
6285,1544,white clover,,3,4,4,68,3
6286,1544,red clover,,12,0,19,10,8
6287,1544,horse nettle,,0,0,0,0,3
6288,1544,yellow sweet clover,,0,0,0,12,2
6289,1544,white sweet clover,,0,1,0,0,0
6290,1532,wild parsnip,,0,0,0,0,5
6291,1532,daisy fleabane,,0,2,0,0,0
6292,1515,Trifolium sp. Yellow,,0,6,0,0,0
6293,1516,trifolium sp. Yellow,,2,0,0,0,0
6294,1545,grey-headed coneflower,,0,2,0,0,0
6295,1545,white wild indigo,,0,0,2,0,3
6296,1545,yarrow,,0,0,28,0,1
6297,1545,false sunflower,,0,0,0,0,2
6298,1545,thimble weed,,0,0,0,0,3
6299,1545,slender mountain mint,,0,0,0,0,2
6300,1546,slender mountain mint,,7,0,2,3,0
6301,1546,yarrow,,3,6,2,0,0
6302,1546,black eyed susan,,0,0,1,0,0
6303,1546,white wild indigo,,0,0,1,1,0
6304,1546,prairie rose,,0,0,0,1,0
6305,1546,spiderwort,,0,0,0,1,0
6306,1547,white wild indigo,,1,0,2,1,3
6307,1547,Coreopsis palmata,,5,6,46,1,0
6308,1547,yarrow,,3,4,0,2,0
6309,1547,slender mountain mint,,0,0,0,1,0
6310,1547,lead plant,,0,0,5,0,0
6311,1547,prairie petunia,,0,3,0,0,0
6312,1547,red clover,,0,7,0,0,0
6313,1547,pale purple coneflower,,2,2,0,0,0
6314,1547,spiderwort,,2,0,0,0,0
6315,1549,white wild indigo,,1,0,0,0,0
6316,1549,horse nettle,,3,1,0,0,0
6317,1550,white wild indigo,,0,0,0,2,0
6318,1550,horse nettle,,0,0,0,1,0
6319,1550,black medick,,0,0,1,0,0
6320,1551,birdsfoot trefoil,,37,23,37,63,32
6321,1551,deptford pink,,20,7,8,37,21
6322,1551,red clover,,1,2,3,4,7
6323,1551,white clover,,4,1,4,6,1
6324,1551,horse nettle,,0,0,0,1,0
6325,1552,birdsfoot trefoil,,193,140,140,180,160
6326,1552,red clover,,10,15,12,0,0
6327,1552,yellow sweet clover,,0,1,0,0,0
6328,1552,horse nettle,,0,1,0,2,0
6329,1552,yarrow,,0,0,1,0,0
6330,1552,white clover,,0,0,1,0,0
6331,1552,common cinquefoil,Potentilla recta,0,0,1,3,0
6332,1552,deptford pink,,0,0,0,4,3
6333,1553,birdsfoot trefoil,,12,7,0,2,1
6334,1553,white lobelia,,0,0,0,0,3
6335,1553,oxeye daisy,,37,0,0,0,0
6336,1553,daisy fleabane,,1,0,3,16,1
6337,1553,alsike clover,,1,0,13,1,17
6338,1553,white clover,,0,37,36,7,21
6339,1553,deptford pink,,0,1,0,0,0
6340,1553,red clover,,0,1,0,0,8
6341,1553,purple milkwort,Polygala sanguinea,0,0,0,1,0
6342,1553,slender mountain mint,,0,0,0,4,0
6343,1553,black eyed susan,,0,0,0,1,3
6344,1553,yarrow,,0,0,0,4,6
6345,1554,birdsfoot trefoil,,9,7,60,218,2
6346,1554,deptford pink,,0,2,0,1,1
6347,1554,yarrow,,3,5,4,4,3
6348,1554,white clover,,13,22,3,9,1
6349,1554,daisy fleabane,,0,0,0,3,1
6350,1554,alsike clover,,0,7,0,2,0
6351,1554,pale purple coneflower,,0,0,1,0,0
6352,1554,purple milkwort,Polygala sanguinea,1,1,2,0,0
6353,1554,oxeye daisy,,1,4,0,0,0
6354,1555,white clover,,100,305,6,0,10
6355,1555,dandelion,,0,0,0,0,1
6356,1555,birdsfoot trefoil,,0,0,0,49,0
6357,1555,slender mountain mint,,0,0,0,2,0
6358,1555,deptford pink,,2,1,0,0,0
6359,1556,birdsfoot trefoil,,350,170,140,365,260
6360,1556,yellow sweet clover,,0,0,0,4,5
6361,1556,horse nettle,,0,1,0,1,0
6362,1556,prairie petunia,,1,10,0,2,0
6363,1556,yarrow,,0,0,0,1,0
6364,1556,white lobelia,,0,0,1,0,0
6365,1556,daisy fleabane,,1,0,0,0,0
6366,1556,white clover,,1,0,0,0,0
6367,1557,birdsfoot trefoil,,310,930,1050,690,358
6368,1557,white clover,,0,0,0,1,43
6369,1557,red clover,,19,0,4,0,2
6370,1557,deptford pink,,5,5,11,3,0
6371,1557,yarrow,,0,2,0,0,0
6372,1557,slender mountain mint,,3,1,0,0,0
6373,1558,birdsfoot trefoil,,650,430,460,610,525
6374,1558,slender mountain mint,,10,11,8,22,22
6375,1558,white clover,,3,0,0,0,4
6376,1558,white wild indigo,,0,0,0,0,1
6377,1558,yarrow,,0,1,1,0,1
6378,1558,oxeye daisy,,0,0,0,1,0
6379,1558,red clover,,0,0,0,2,0
6380,1558,deptford pink,,1,1,2,5,0
6381,1558,alsike clover,Trifolium hybridum,1,0,0,3,0
6382,1559,slender mountain mint,,0,0,0,0,1
6383,1559,birdsfoot trefoil,,80,420,79,141,0
6384,1559,white wild indigo,,0,1,0,0,0
6385,1560,birdsfoot trefoil,,0,0,0,575,700
6386,1560,slender mountain mint,,17,9,1,1,0
6387,1560,daisy fleabane,,5,2,0,0,0
6388,1560,white wild indigo,,1,1,0,0,0
6389,1560,tall cinquefoil,Potentilla arguta,2,0,0,0,0
6390,1561,white clover,,60,20,25,100,265
6391,1561,white wild indigo,,0,1,0,0,2
6392,1561,deptford pink,,15,3,3,1,8
6393,1561,horse nettle,,0,1,0,0,1
6394,1561,red clover,,4,0,0,11,1
6395,1561,moth mullein,Verbascum blattaria,0,0,0,0,1
6396,1561,hoary verbena,,0,0,0,0,7
6397,1561,daisy fleabane,,3,1,0,3,0
6398,1561,prairie petunia,,0,0,0,1,0
6399,1561,birdsfoot trefoil,,4,0,0,0,0
6400,1562,white clover,,2,0,27,3,9
6401,1562,deptford pink,,10,3,5,1,6
6402,1562,birdsfoot trefoil,,0,0,0,2,26
6403,1562,yarrow,,0,0,0,0,1
6404,1562,daisy fleabane,,0,0,0,2,0
6405,1562,Trifolium sp. Yellow,,0,0,68,0,0
6406,1562,red clover,,0,2,0,0,0
6407,1563,deptford pink,,2,0,2,3,2
6408,1563,white clover,,0,0,5,6,85
6409,1563,daisy fleabane,,0,0,0,1,0
6410,1563,white wild indigo,,0,0,5,0,0
6411,1563,red clover,,1,0,0,0,0
6412,1563,prairie petunia,,0,0,0,1,0
6413,1563,hoary verbena,,1,0,0,0,0
6414,1564,birdsfoot trefoil,,66,29,72,20,7
6415,1564,white clover,,1,8,3,3,10
6416,1564,deptford pink,,7,4,8,2,1
6417,1564,red clover,,0,2,2,1,0
6418,1564,alsike clover,,0,0,1,0,0
6419,1564,daisy fleabane,,0,1,0,0,0
6420,1565,birdsfoot trefoil,,16,10,6,2,4
6421,1565,deptford pink,,1,2,1,0,7
6422,1565,hoary verbena,,2,2,1,0,0
6423,1565,horse nettle,,0,1,0,0,0
6424,1565,white clover,,0,60,0,0,0
6425,1565,daisy fleabane,,0,1,0,0,0
6426,1565,yellow sweet clover,,0,1,0,0,0
6427,1565,red clover,,1,0,0,0,0
6428,1566,birdsfoot trefoil,,5,15,1,8,27
6429,1566,deptford pink,,1,6,1,0,5
6430,1566,white clover,,45,6,61,16,25
6431,1566,red clover,,0,0,0,1,0
6432,1566,daisy fleabane,,0,0,2,0,0
6433,1566,horse nettle,,2,0,0,0,0
6434,1566,hoary verbena,,2,0,0,0,0
6435,1566,yellow sweet clover,,2,0,0,0,0
6436,1567,rattlesnake master,,0,0,0,0,1
6437,1567,Coreopsis palmata,,1,0,0,0,0
6438,1567,slender mountain mint,,9,7,4,0,4
6439,1567,prairie petunia,,0,0,0,0,1
6440,1567,false sunflower,,0,0,0,4,0
6441,1567,thimbleweed,,0,0,0,1,0
6442,1567,white wild indigo,,0,0,1,0,0
6443,1567,showy ticktrefoil,Desmodium canadense,0,0,1,0,0
6444,1567,wild bergamot,,0,0,6,0,0
6445,1567,Queen Anne's lace,,0,1,0,0,0
6446,1567,horse nettle,,0,1,0,0,0
6447,1568,germander,,0,0,0,0,2
6448,1568,red clover,,0,12,0,0,0
6449,1568,slender mountain mint,,6,7,20,55,36
6450,1568,hairy mountain mint,,0,0,0,0,3
6451,1568,yarrow,,1,1,0,0,0
6452,1568,Coreopsis palmata,,0,3,17,3,12
6453,1568,pale purple coneflower,,1,2,2,7,1
6454,1568,prairie petunia,,1,0,0,0,0
6455,1568,purple milkwort,,0,0,0,2,0
6456,1568,culver's root,,15,0,0,0,0
6457,1568,purple coneflower,,0,0,0,3,0
6458,1568,black eyed susan,,0,0,0,4,0
6459,1568,white prairie clover,,0,0,2,0,0
6460,1568,lead plant,,0,4,0,0,0
6461,1569,slender mountain mint,,38,34,50,90,92
6462,1569,Coreopsis palmata,,0,0,0,0,1
6463,1569,hairy mountain mint,,0,0,0,0,2
6464,1569,germander,,1,0,0,0,3
6465,1569,butterfly milkweed,,0,0,0,0,2
6466,1569,wild bergamot,,0,2,8,0,0
6467,1569,prairie petunia,,0,1,0,0,1
6468,1570,hoary verbena,,0,2,0,0,0
6469,1571,deptford pink,,2,2,0,0,1
6470,1571,prairie petunia,,1,7,0,0,7
6471,1571,red clover,,0,0,0,0,1
6472,1571,yarrow,,0,0,0,2,0
6473,1571,daisy fleabane,,0,0,0,5,0
6474,1571,horse nettle,,1,0,0,1,0
6475,1571,birdsfoot trefoil,,315,45,1,0,0
6476,1572,slender mountain mint,,0,0,0,0,1
6477,1572,prairie petunia,,0,0,3,0,0
6478,1572,tall cinquefoil,potentilla recta,0,1,0,0,0
6479,1572,deptford pink,,1,0,0,0,0
6480,1573,oxeye daisy,,1,1,7,3,5
6481,1573,red clover,,25,5,6,3,1
6482,1573,tall cinquefoil,potentilla recta,0,1,0,0,1
6483,1573,prairie petunia,,0,2,1,1,3
6484,1573,birdsfoot trefoil,,85,43,43,33,9
6485,1573,slender mountain mint,,9,3,5,6,0
6486,1573,white clover,,1,0,3,0,0
6487,1573,white wild indigo,,1,1,0,0,0
6488,1573,purple milkwort,,0,2,0,0,0
6489,1574,birdsfoot trefoil,,445,385,135,250,135
6490,1574,red clover,,44,69,27,35,12
6491,1574,prairie petunia,,0,0,1,0,1
6492,1574,deptford pink,,8,3,2,17,4
