"Composite.Variable","Year","Herbicide.Treatment","Site","Patch","american lady","black swallowtail","bronze copper","cabbage white","clouded sulphur","common buckeye","common wood nymph","coral hairstreak","delaware skipper","dun skipper","eastern comma","eastern tailed blue","eastern tiger swallowtail","european skipper","giant swallowtail","gorgone checkerspot","gray copper","great spangled fritillary","indigo duskywing","least skipper","little wood satyr","little yellow","meadow fritillary","monarch","orange sulphur","painted lady","pearl crescent","peck's skipper","question mark","red admiral","red-spotted purple","regal fritillary","silver-spotted skipper","silvery checkerspot","summer azure","tawny-edged skipper","viceroy","Abundance","Species.Density","Diversity"
"2015-Con","2015","Con","LTR","LTR-W",0,0,0,7,12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,4,0,0,1,0,0,0,0,0,0,0,37,7,1.74147280388797
"2015-Con","2015","Con","PYW","PYW-S",0,0,0,5,36,0,0,0,0,0,0,3,0,0,1,0,0,11,0,0,0,0,1,1,14,0,0,0,0,0,0,2,1,0,0,0,0,75,10,1.58335940434817
"2015-SnS","2015","SnS","GIL","GIL-C",0,0,0,43,26,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,83,7,1.21582571600069
"2015-SnS","2015","SnS","LTR","LTR-E",0,2,0,15,26,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,15,1,6,0,1,3,0,1,0,0,0,0,0,76,13,1.90072622278473
"2015-SnS","2015","SnS","PYW","PYW-N",0,1,0,10,29,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4,8,1,0,0,0,0,0,2,0,0,0,0,0,59,11,1.63271652630256
"2015-Spr","2015","Spr","GIL","GIL-N",0,0,1,53,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,2,68,9,0.945514410120333
"2015-Spr","2015","Spr","LTR","LTR-C",1,0,0,9,11,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,12,0,3,0,0,0,0,0,0,0,0,0,0,44,8,1.78174417549207
"2015-Spr","2015","Spr","PYW","PYW-C",0,2,0,10,19,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,3,5,0,1,0,0,1,0,5,0,0,0,0,0,50,11,1.88936308049439
"2016-Con","2016","Con","GIL","GIL-S",0,0,1,16,11,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7,0,12,0,3,0,1,0,0,0,5,0,1,0,0,62,13,2.08023375300063
"2016-Con","2016","Con","LTR","LTR-W",0,1,0,10,9,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,15,0,2,1,0,0,0,0,0,0,0,1,1,47,12,1.94610396914104
"2016-Con","2016","Con","PYW","PYW-S",0,0,0,11,13,1,1,0,0,0,0,13,0,0,0,0,0,2,1,0,0,0,6,1,12,0,1,1,0,0,1,0,0,0,0,0,0,64,13,2.04917586041082
"2016-SnS","2016","SnS","GIL","GIL-C",0,5,2,23,15,6,3,0,1,0,0,25,1,0,1,0,0,0,0,0,0,0,1,0,30,0,7,1,0,1,0,0,0,0,0,0,0,122,15,2.07987198159782
"2016-SnS","2016","SnS","LTR","LTR-E",1,0,0,18,13,5,1,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,9,0,65,0,7,0,0,0,0,0,2,1,0,0,0,130,13,1.71148338268313
"2016-SnS","2016","SnS","PYW","PYW-N",0,0,0,4,10,0,1,0,0,0,0,15,0,0,2,0,0,1,0,0,0,0,5,0,8,0,5,0,0,0,0,1,0,1,0,0,0,53,11,2.02108460770584
"2016-Spr","2016","Spr","GIL","GIL-N",0,2,0,11,16,8,2,0,0,0,0,24,0,0,2,1,0,0,0,0,0,0,0,0,46,0,2,0,0,0,0,0,0,0,0,1,1,116,12,1.77678179885304
"2016-Spr","2016","Spr","LTR","LTR-C",0,1,0,14,9,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,0,30,0,3,1,0,0,0,1,0,0,0,4,0,86,12,1.92885124317827
"2016-Spr","2016","Spr","PYW","PYW-C",0,1,0,9,9,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,3,0,20,0,9,0,0,0,0,0,0,0,0,0,0,68,8,1.76514056574966
"2017-Con","2017","Con","GIL","GIL-S",0,0,0,10,3,4,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,1,1,3,0,3,0,0,0,0,0,1,1,0,0,0,38,11,2.10100962888754
"2017-Con","2017","Con","LTR","LTR-W",0,0,0,3,4,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,26,0,8,1,0,0,0,1,0,0,0,3,1,54,13,1.83610474618047
"2017-Con","2017","Con","PYW","PYW-S",0,0,0,4,5,4,3,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,2,0,8,1,1,0,0,0,0,0,0,0,0,0,0,53,10,1.76786738638149
"2017-SnS","2017","SnS","GIL","GIL-C",0,0,0,9,8,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,1,20,0,16,1,0,0,0,0,0,0,0,3,0,83,10,1.9492091944031
"2017-SnS","2017","SnS","LTR","LTR-E",0,0,0,10,11,2,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,2,3,24,1,15,3,0,0,0,0,0,0,0,2,0,82,12,2.06458551439252
"2017-SnS","2017","SnS","PYW","PYW-N",0,0,0,9,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,4,0,12,0,0,0,0,0,0,0,0,0,0,38,6,1.64569349428038
"2017-Spr","2017","Spr","GIL","GIL-N",0,1,0,9,5,11,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,5,3,17,0,15,0,0,1,0,0,0,1,0,0,0,106,12,1.94710486939057
"2017-Spr","2017","Spr","LTR","LTR-C",0,1,0,8,3,4,2,0,1,0,0,5,1,0,1,0,0,1,0,0,0,0,0,2,23,0,20,1,0,0,0,0,0,0,0,2,0,75,15,2.05463969051094
"2017-Spr","2017","Spr","PYW","PYW-C",1,0,0,0,6,4,7,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,11,1,4,0,8,0,0,0,0,0,0,0,0,0,0,50,11,2.16570945757976
