"Year","Site","Patch","Adaptive.Mgmt","Herb.Trt","alsike clover","antelope horns","birdsfoot trefoil","black medick","black-eyed susan","blue-eyed grass","broadleaf plantain","butterfly milkweed","canada anemone","catnip","chickweed","chicory","common cinquefoil","common milkweed","common mullein","corn speedwell","daisy fleabane","dandelion","deptford pink","field milkwort","fieldcress","flowering spurge","germander","grey-headed coneflower","grooved yellow flax","ground cherry","hairy mountain mint","hawkweed","hoary vervain","horsenettle","ironweed","morning glory","moth mullein","multiflora rose","musk thistle","oxeye daisy","pale spike lobelia","partridge pea","prairie cinquefoil","prairie petunia","prairie rose","queen anne's lace","rapeseed","red clover","ribwort plantain","sawtooth sunflower","self-heal","showy tick trefoil","slender mountain mint","spotted st. john's wort","st. john's wort","sulfur cinquefoil","swamp agrimony","swamp vervain","tall green milkweed","white clover","white sweet clover","white vervain","white wild indigo","whorled milkweed","wild bergamot","wild parsnip","yarrow","yellow oxalis","yellow sweet clover","Abundance","Richness","Diversity"
16,"GIL","GIL-N","GB-IC","Spr",25,0,419,17,3,0,0,0,0,0,0,1,3,0,0,0,317,0,158,0,0,0,0,0,0,0,0,0,32,0,3,0,0,0,0,0,0,0,0,0,0,216,0,40,730,0,65,0,0,0,0,0,0,5,0,2445,6,0,0,0,0,0,0,0,16,4501,18,1.53887302031907
16,"GIL","GIL-S","GB-IC","Con",0,0,303,35,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,39,235,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,6,0,0,0,0,0,0,57,0,718,0,0,0,0,0,5,0,0,0,1467,13,1.49190304705304
16,"LTR","LTR-C","GB-IC","Spr",0,0,7,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,8,5,0,0,0,0,0,0,11,0,0,0,0,1,5,5,0,5,0,3,0,0,0,0,2,0,1,0,0,6,0,7,0,15,0,0,118,18,2.68547459566155
16,"LTR","LTR-E","GB-IC","SnS",0,0,33,11,9,0,0,0,0,0,0,0,0,0,0,0,529,0,90,0,0,0,1,0,0,0,0,0,47,18,199,0,0,0,1,0,0,9,0,9,0,332,0,49,153,0,9,0,180,0,0,0,0,0,0,3644,0,15,2,0,1,0,40,0,5,5386,23,1.32579474826938
16,"LTR","LTR-W","GB-IC","Con",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0,0,0,23,1,6,0,0,0,0,0,0,0,0,5,0,85,0,0,2,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,4,0,0,0,1,1222,12,0.59790892060589
16,"PYW","PYW-C","GB-IC","Spr",0,0,2194,90,146,0,0,5,0,0,0,0,0,0,0,0,260,0,200,0,0,0,0,11,0,0,0,0,3,1,0,0,0,0,0,663,3,0,0,11,0,0,0,933,0,0,13,0,696,0,18,0,0,0,3,169,0,0,0,0,0,0,7,0,13,5439,20,1.82976305432184
16,"PYW","PYW-N","GB-IC","SnS",0,0,3073,110,171,0,0,1,0,0,0,0,0,0,0,0,570,0,98,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,1429,36,0,0,16,0,164,0,351,0,0,14,0,1668,0,3,0,0,0,0,29,0,0,0,0,0,0,2,0,27,7769,20,1.72415064047014
16,"PYW","PYW-S","GB-IC","Con",0,0,937,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,1,4,0,0,1,0,14,43,0,2,0,0,46,0,248,5,0,25,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,1377,16,1.14497829327719
17,"GIL","GIL-C","GB-IC","SnS",537,0,287,35,7,0,7,0,0,0,0,0,3,0,0,0,369,1,74,0,0,0,48,4,0,0,0,0,132,2,46,0,0,0,0,0,0,0,1,0,0,46,0,34,422,0,8,0,0,0,0,0,0,0,0,985,0,0,0,0,29,0,0,11,14,3102,23,2.08181453785386
17,"GIL","GIL-N","GB-IC","Spr",334,0,831,1,0,0,0,0,0,0,9,15,0,0,0,0,681,0,137,0,0,0,6,3,0,0,0,0,5,4,0,0,0,0,0,0,0,0,5,4,0,116,0,41,222,0,12,0,3,0,0,0,0,2,0,1598,0,0,0,0,54,0,0,1,0,4084,22,1.78048592524445
17,"GIL","GIL-S","GB-IC","Con",0,0,630,27,0,0,1,0,0,0,0,11,0,0,0,0,116,0,35,0,0,0,66,0,0,0,0,0,8,3,49,0,0,0,0,0,0,0,0,3,0,118,0,0,45,0,33,0,0,0,0,0,0,0,0,599,0,0,0,0,921,0,0,0,0,2665,16,1.76822165349293
17,"LTR","LTR-C","GB-IC","Spr",182,0,167,193,0,1,0,0,0,0,0,0,0,0,0,0,142,0,124,0,0,0,19,0,7,0,34,0,0,4,54,0,0,0,0,0,0,7,0,22,0,49,0,8,53,0,2,15,0,0,0,0,1,0,0,141,0,0,11,0,11,0,34,0,0,1281,23,2.51745353759232
17,"LTR","LTR-E","GB-IC","SnS",6,0,73,78,9,0,405,0,0,3,0,0,0,0,0,1,42,0,200,0,0,0,22,5,0,0,0,0,57,6,319,0,5,0,0,0,0,0,0,17,0,1178,0,0,1200,0,2,0,5,0,0,0,0,14,0,0,0,0,1,0,8,0,59,0,0,3715,24,1.84338385301446
17,"LTR","LTR-W","GB-IC","Con",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,7,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,1,0,0,8,0,129,0,25,4,0,0,0,119,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,8,398,14,1.73148009748935
17,"PYW","PYW-C","GB-IC","Spr",7,0,1435,0,31,3,0,0,0,0,0,0,0,0,0,0,202,0,38,0,6,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,24,0,24,0,557,0,0,89,0,352,22,0,0,0,0,0,175,0,0,0,0,0,0,21,0,0,3000,17,1.67963324800338
17,"PYW","PYW-N","GB-IC","SnS",7,0,0,23,1,4,0,0,9,0,0,0,8,0,0,0,230,0,15,0,0,0,7,13,0,0,0,0,0,1,0,0,0,0,0,201,0,0,0,15,0,31,0,311,25,0,0,0,1133,0,0,0,0,0,0,59,3,0,3,0,1,0,0,0,0,2100,21,1.57361929961864
17,"PYW","PYW-S","GB-IC","Con",0,0,0,0,15,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,47,2,0,0,3,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,511,10,0.988484097413189
18,"GIL","GIL-C","GB-IC","SnS",0,0,156,21,0,0,0,0,0,1,0,63,1,0,0,0,34,1,32,0,3,0,0,6,0,0,0,0,6,3,4,0,0,0,0,0,0,0,0,0,0,52,0,7,64,0,6,0,45,0,0,0,0,0,0,52,0,0,0,0,18,0,2,0,0,577,21,2.3659005722469
18,"GIL","GIL-N","GB-IC","Spr",0,0,1061,6,0,0,0,0,0,0,0,19,0,0,1,0,0,1,37,0,0,0,0,0,0,0,0,0,4,15,33,0,0,68,0,0,0,0,0,0,0,168,0,12,284,0,6,0,0,0,0,0,0,0,0,444,0,0,0,0,1,0,14,0,0,2174,17,1.57120301187478
18,"GIL","GIL-S","GB-IC","Con",9,0,521,27,0,0,0,0,2,0,0,215,0,4,0,0,11,0,43,0,0,0,0,5,0,0,0,0,6,12,24,0,0,0,0,0,0,0,0,4,0,0,0,179,48,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,37,0,0,0,3,1232,18,1.87225366488348
18,"LTR","LTR-C","GB-IC","Spr",8,0,4,15,13,0,0,7,0,0,0,0,0,0,0,0,163,0,28,0,0,0,4,6,0,0,0,0,0,0,66,0,0,0,0,0,12,0,0,7,0,46,0,7,0,0,0,0,99,0,8,0,0,0,0,0,0,0,0,0,1,0,8,0,0,502,18,2.13985472589139
18,"LTR","LTR-E","GB-IC","SnS",0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,49,0,0,0,19,0,0,0,0,0,14,6,85,0,0,0,0,0,0,0,0,11,0,435,0,277,47,0,0,0,0,0,0,0,0,0,0,15,1,0,20,0,13,0,139,0,0,1404,16,2.06995557248208
18,"LTR","LTR-W","GB-IC","Con",3,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,321,0,35,0,0,0,0,3,0,0,0,0,1,5,23,0,0,0,0,0,0,0,0,8,0,0,0,1,23,0,0,0,0,1,0,0,0,0,0,5,0,0,0,3,7,0,4,0,26,489,18,1.44033521392071
18,"PYW","PYW-C","GB-IC","Spr",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,5,64,0,0,0,1,1,9,24,0,0,0,0,12,16,0,0,98,0,66,0,435,0,0,1,0,0,0,0,51,0,0,0,106,0,0,0,0,53,0,8,0,0,1015,19,2.03287372432412
18,"PYW","PYW-N","GB-IC","SnS",0,1,708,0,6,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,55,0,0,0,0,0,2,5,0,0,0,0,11,28,0,0,69,0,53,0,38,0,1,1,0,213,0,0,0,0,0,0,3,48,0,0,0,8,0,0,0,2,1305,19,1.65150662040747
18,"PYW","PYW-S","GB-IC","Con",0,1,1045,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,31,8,1,0,0,0,16,8,0,0,138,0,17,0,159,32,0,1,0,377,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,1862,19,1.41640395911462
