"Composite.Variable","Herbicide.Treatment","Year","Site","Patch","alsike clover","birdsfoot trefoil","black medick","black-eyed susan","blue-eyed grass","broadleaf plantain","butterfly milkweed","canada anemone","catnip","chickweed","chicory","common cinquefoil","corn speedwell","daisy fleabane","dandelion","deptford pink","field milkwort","fieldcress","flowering spurge","germander","grey-headed coneflower","grooved yellow flax","ground cherry","hairy mountain mint","hoary vervain","horsenettle","ironweed","morning glory","moth mullein","multiflora rose","musk thistle","oxeye daisy","pale spike lobelia","partridge pea","prairie cinquefoil","prairie petunia","prairie rose","queen anne's lace","rapeseed","red clover","ribwort plantain","self-heal","showy tick trefoil","slender mountain mint","spotted st. john's wort","st. john's wort","swamp agrimony","swamp vervain","sweet black-eyed susan","tall green milkweed","white clover","white sweet clover","white vervain","white wild indigo","whorled milkweed","wild bergamot","wild parsnip","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
"2015-Con","Con","2015","LTR","LTR-W",11,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,0,0,11,1,41,0,26,0,7,0,9,0,2,0,3,0,0,844,0,0,3,1,5,0,7,0,1,1272,19,1.12067857830565
"2015-Con","Con","2015","PYW","PYW-S",0,2661,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,1,16,0,26,0,673,0,5,0,57,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3506,12,0.761861860307632
"2015-SnS","SnS","2015","GIL","GIL-C",0,30,0,0,0,0,0,0,0,3,9,0,0,66,0,0,0,0,0,0,0,0,1,0,22,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1,0,0,0,0,0,22,0,417,11,1.44819800669135
"2015-SnS","SnS","2015","LTR","LTR-E",0,4,0,0,0,0,0,0,0,0,0,0,1,138,0,0,0,0,0,1,0,0,0,0,80,17,37,0,0,0,0,0,0,0,0,8,0,137,0,47,0,0,0,0,0,0,0,1,0,0,1426,0,12,4,0,0,0,28,34,0,1975,16,1.16070991065563
"2015-SnS","SnS","2015","PYW","PYW-N",0,2558,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,28,0,0,19,0,59,0,51,0,0,0,237,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2968,12,0.590183923708606
"2015-Spr","Spr","2015","GIL","GIL-N",0,143,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,65,0,366,9,1.17232708891125
"2015-Spr","Spr","2015","LTR","LTR-C",0,24,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,6,0,0,0,0,116,5,14,0,0,0,0,0,0,5,0,23,0,2,0,3,0,0,0,31,0,0,0,0,0,0,358,0,0,3,3,0,0,25,82,10,778,17,1.85167340614973
"2015-Spr","Spr","2015","PYW","PYW-C",0,958,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,5,20,0,34,0,84,0,153,0,0,0,316,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,1606,13,1.27650945689674
"2016-Con","Con","2016","GIL","GIL-S",0,539,35,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,3,0,0,0,103,39,235,0,0,0,0,0,0,0,0,0,0,141,0,60,1,6,0,0,0,0,0,57,0,0,1123,0,0,0,0,570,5,0,0,0,3022,17,1.8639084206764
"2016-Con","Con","2016","LTR","LTR-W",0,0,12,0,0,0,0,0,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0,0,23,1,6,0,0,0,0,0,0,0,0,5,0,85,0,0,2,0,0,55,0,0,0,130,0,0,1057,0,0,0,0,4,0,0,0,1,1417,14,1.01970935898857
"2016-Con","Con","2016","PYW","PYW-S",0,2052,10,21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,2,4,0,0,1,0,14,43,0,2,0,0,46,0,537,5,25,0,495,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,10,3297,19,1.20330730429328
"2016-SnS","SnS","2016","GIL","GIL-C",0,161,77,34,0,0,0,0,0,0,110,0,0,759,0,96,0,0,0,3,0,0,0,0,453,2,9,0,0,0,0,0,0,0,1,1,0,228,0,15,214,17,0,0,0,0,0,58,0,0,2111,0,70,0,0,13,0,0,10,5,4447,22,1.81392833182071
"2016-SnS","SnS","2016","LTR","LTR-E",0,33,11,9,0,0,0,0,0,0,0,0,0,529,0,214,0,0,0,1,0,0,0,0,399,18,199,0,0,0,1,0,0,9,0,9,0,332,0,49,153,9,0,180,0,0,0,429,0,0,3644,0,15,2,0,1,0,40,0,5,6291,24,1.64375307678446
"2016-SnS","SnS","2016","PYW","PYW-N",0,3073,110,171,0,0,1,0,0,0,0,0,0,570,0,98,0,0,0,0,4,10,0,0,2,0,1,0,0,0,0,1429,36,0,0,16,0,164,0,351,0,14,0,1668,0,3,0,0,0,0,29,27,0,0,0,0,0,2,0,27,7806,22,1.7488397419592
"2016-Spr","Spr","2016","GIL","GIL-N",25,1123,17,3,0,0,0,0,0,0,1,3,0,895,0,158,0,0,0,0,0,0,0,0,32,0,3,0,0,0,0,0,0,0,0,0,0,216,0,40,730,65,0,0,0,0,0,5,0,0,2445,6,0,0,0,0,0,0,0,16,5783,18,1.65047134311479
"2016-Spr","Spr","2016","LTR","LTR-C",0,7,15,4,0,0,0,0,0,0,0,0,0,606,0,72,0,0,0,0,0,0,0,0,61,8,5,0,0,0,0,0,17,11,0,0,0,191,1,5,5,5,0,3,0,0,0,2,0,0,1367,0,0,6,0,7,0,15,0,0,2413,21,1.33710692909832
"2016-Spr","Spr","2016","PYW","PYW-C",0,2194,90,146,0,0,5,0,0,0,0,0,0,358,0,200,0,0,0,0,11,0,0,0,3,1,0,0,0,0,0,663,3,0,0,11,0,317,0,933,0,13,0,696,0,18,0,0,0,3,229,0,0,0,0,0,0,7,10,13,5924,22,1.98249896670887
"2017-Con","Con","2017","GIL","GIL-S",0,960,27,0,0,1,0,0,0,0,11,0,0,116,0,35,0,0,0,66,0,0,0,0,8,3,49,0,0,0,0,0,0,0,0,3,0,118,0,437,45,33,0,0,0,0,0,0,0,0,1045,0,0,0,0,921,0,0,0,7,3885,18,1.84404279711924
"2017-Con","Con","2017","LTR","LTR-W",0,0,105,0,0,0,0,0,0,0,0,0,0,76,0,7,0,0,0,0,0,0,0,0,7,8,20,0,0,0,0,0,1,0,0,8,0,129,0,25,4,0,0,119,0,1,0,0,0,0,380,0,0,4,0,0,0,1,0,8,903,17,1.82308204669071
"2017-Con","Con","2017","PYW","PYW-S",0,6864,0,12,3,0,0,0,0,0,0,29,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,47,2,0,0,3,0,60,0,381,0,0,0,195,0,0,0,0,3,0,26,0,0,0,0,0,0,1,0,0,7660,15,0.498991252220046
"2017-SnS","SnS","2017","GIL","GIL-C",537,1077,55,1,0,7,0,0,0,0,83,3,0,369,1,212,0,0,0,48,4,0,0,0,132,2,46,0,0,120,0,0,0,0,1,0,0,46,0,34,422,8,0,55,0,0,0,0,6,0,2727,0,0,0,0,29,0,0,11,14,6050,27,1.89248527026497
"2017-SnS","SnS","2017","LTR","LTR-E",6,73,78,9,0,405,0,0,3,0,0,0,1,455,0,200,0,0,0,22,5,0,0,0,57,6,319,0,5,0,0,0,0,0,0,17,0,1178,0,439,1200,2,0,5,0,0,0,14,0,0,1107,0,0,1,0,8,0,59,0,0,5674,26,2.16710912023773
"2017-SnS","SnS","2017","PYW","PYW-N",7,7628,23,21,4,0,0,9,0,0,0,8,0,230,0,15,0,0,0,7,13,0,0,0,0,1,0,0,0,0,0,201,0,0,0,15,0,31,0,311,25,10,0,1133,0,0,0,0,0,0,59,3,0,3,0,1,0,0,0,0,9758,23,0.881083730654561
"2017-Spr","Spr","2017","GIL","GIL-N",334,2434,71,0,0,40,0,0,0,9,15,0,0,681,0,137,0,0,0,6,3,0,0,0,5,4,0,0,0,0,0,0,0,0,5,4,0,116,0,62,1742,12,0,3,0,0,0,2,0,0,2393,0,0,0,0,54,0,0,1,10,8143,24,1.72422887254608
"2017-Spr","Spr","2017","LTR","LTR-C",182,167,193,0,1,0,0,0,0,0,0,0,0,876,0,124,0,0,0,19,0,7,0,34,2,4,54,0,0,0,0,0,0,7,0,22,0,49,0,18,114,2,15,139,0,0,1,0,0,0,399,0,0,11,0,11,0,34,0,0,2485,25,2.21775072427549
"2017-Spr","Spr","2017","PYW","PYW-C",7,5995,0,41,3,0,0,0,0,0,0,0,0,304,0,48,0,6,0,0,0,0,0,0,0,2,0,0,0,12,0,600,0,0,0,24,0,24,0,639,0,89,0,352,22,10,0,0,3,0,175,0,0,30,0,0,0,21,0,0,8407,21,1.18268417278862
